"编号","开始答题时间","结束答题时间","答题时长","1.性别","2.年龄","3.饮食偏好:是否喜欢辣","3.饮食偏好:是否喜欢甜","3.饮食偏好:是否喜欢酸","3.饮食偏好:是否偏爱素食","3.饮食偏好:能否接受生食（如刺身）","3.饮食偏好:能否接受冷食（如冰淇淋）","3.饮食偏好:能否接受带有臭味的食物（如螺蛳粉 榴莲 臭豆腐）","3.饮食偏好:能否接受重口味食物","3.饮食偏好:能否接受清淡口味食物","4.您喜欢的菜系（多选）:川菜（如麻辣香锅、毛血旺）","4.您喜欢的菜系（多选）:粤菜&港式（如烧腊、菠萝油）","4.您喜欢的菜系（多选）:湘菜（如小炒黄牛肉）","4.您喜欢的菜系（多选）:江浙菜（如西湖醋鱼、东坡肉）","4.您喜欢的菜系（多选）:日料（如寿司、刺身）","4.您喜欢的菜系（多选）:韩餐（如石锅拌饭）","4.您喜欢的菜系（多选）:西餐（如牛排、披萨）","4.您喜欢的菜系（多选）:东南亚风格（如冬阴功汤）","4.您喜欢的菜系（多选）:其他____{fillblank-514a}","4.您喜欢的菜系（多选）:其他____{fillblank-514a}[选项填空]","5.为食物打分:沙拉","5.为食物打分:麻辣香锅","5.为食物打分:酸菜鱼","5.为食物打分:甜甜圈","5.为食物打分:水煮蔬菜","5.为食物打分:白切鸡","5.为食物打分:寿司","5.为食物打分:麻辣烫","5.为食物打分:韩式炸鸡","5.为食物打分:冬阴功汤","5.为食物打分:蜜汁叉烧","5.为食物打分:烧烤","5.为食物打分:菌菇汤","5.为食物打分:卤味","5.为食物打分:蛋挞","5.为食物打分:红烧肉","5.为食物打分:汉堡","5.为食物打分:石锅拌饭","5.为食物打分:煲仔饭","5.为食物打分:皮蛋瘦肉粥","5.为食物打分:刺身","5.为食物打分:牛排","5.为食物打分:披萨","5.为食物打分:冰淇淋","5.为食物打分:布丁","5.为食物打分:新疆爆辣炒粉","5.为食物打分:小笼包","5.为食物打分:酸辣粉","5.为食物打分:小米粥","5.为食物打分:螺蛳粉","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"408","17-Apr-2025 13:19:57","17-Apr-2025 13:23:31","214","B.男","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","4","0","2","4","5","5","2","0","2","4","4","1","4","3","4","5","3","5","5","4","0","4","5","4","4","0","5","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"407","17-Apr-2025 13:17:01","17-Apr-2025 13:19:37","156","B.男","A.18岁以下","B.否","B.否","B.否","A.是","A.是","A.是","B.否","B.否","A.是","","","","","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","0","0","2","1","0","5","0","2","1","5","5","0","1","5","5","5","5","5","0","5","5","5","5","5","0","5","0","0","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"406","17-Apr-2025 13:13:21","17-Apr-2025 13:16:46","205","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","A.是","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","0","0","3","2","5","0","5","2","4","0","5","5","0","0","5","5","2","0","5","5","0","5","5","5","1","0","5","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"405","17-Apr-2025 13:10:34","17-Apr-2025 13:13:00","146","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","","","C.湘菜（如小炒黄牛肉）","","","","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","4","2","3","5","5","5","5","3","4","4","2","4","5","2","5","5","4","3","3","4","1","5","5","4","3","0","5","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"404","17-Apr-2025 13:08:12","17-Apr-2025 13:10:19","127","B.男","A.18岁以下","A.是","B.否","B.否","B.否","A.是","A.是","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","5","1","5","2","4","3","2","2","2","1","3","1","5","2","3","2","2","3","5","5","2","3","4","4","3","0","4","1","5","1","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"403","17-Apr-2025 13:05:52","17-Apr-2025 13:07:54","122","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","4","0","5","3","4","3","5","5","1","1","5","3","5","3","5","4","2","5","5","5","0","4","2","5","3","0","0","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"402","17-Apr-2025 12:51:19","17-Apr-2025 12:53:59","160","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","0","0","4","5","4","5","0","0","5","4","5","0","4","4","5","5","0","0","4","4","0","5","5","5","0","0","5","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"401","17-Apr-2025 12:49:46","17-Apr-2025 12:51:05","79","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","B.否","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","4","4","5","5","4","5","0","0","5","4","5","5","4","5","5","5","0","5","5","4","0","5","5","5","0","0","5","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"400","17-Apr-2025 12:46:20","17-Apr-2025 12:49:32","192","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","B.否","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","4","0","4","5","4","5","5","0","5","0","5","5","0","5","5","5","5","5","5","5","0","5","5","5","5","0","5","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"399","17-Apr-2025 12:43:21","17-Apr-2025 12:46:08","167","B.男","A.18岁以下","B.否","A.是","B.否","B.否","A.是","A.是","A.是","A.是","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","4","4","1","4","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","3","5","5","5","5","3","5","0","5","1","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"398","17-Apr-2025 12:40:05","17-Apr-2025 12:43:06","181","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","3","1","4","2","5","4","5","0","1","2","4","2","4","3","5","5","4","3","3","2","1","5","5","5","3","0","5","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"397","17-Apr-2025 12:37:03","17-Apr-2025 12:39:53","170","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","B.否","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","5","0","5","3","4","5","3","0","3","5","4","2","5","4","5","5","3","5","5","3","0","5","5","3","5","0","5","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"396","17-Apr-2025 12:32:54","17-Apr-2025 12:36:55","241","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","A.是","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","4","1","3","4","4","5","5","0","3","0","2","0","0","3","4","5","1","0","0","5","0","5","5","2","3","0","3","2","5","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"395","17-Apr-2025 12:30:30","17-Apr-2025 12:32:40","130","A.女","A.18岁以下","B.否","A.是","A.是","B.否","B.否","A.是","A.是","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","","","","5","2","2","3","5","5","5","3","3","3","5","3","4","4","5","5","2","4","3","5","3","4","4","5","5","1","3","0","4","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"394","17-Apr-2025 11:35:49","17-Apr-2025 11:37:32","103","A.女","B.19-30岁","B.否","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","","","","","3","4","4","3","5","5","3","3","0","3","3","3","4","3","4","4","2","3","3","5","3","4","3","3","3","0","4","3","4","3","简体中文","未清洗","","中国","江苏省","常州市","","121.231.55.205","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.52(0x18003426) NetType/WIFI Language/zh_CN","",
"393","17-Apr-2025 11:23:33","17-Apr-2025 11:27:41","248","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","A.是","A.是","B.否","","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","5","3","5","5","5","5","5","5","5","0","0","5","5","5","5","5","5","5","5","5","0","5","5","5","5","0","5","1","5","5","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"392","17-Apr-2025 11:19:32","17-Apr-2025 11:22:26","174","B.男","A.18岁以下","B.否","A.是","A.是","B.否","B.否","A.是","B.否","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","5","1","3","1","5","5","4","2","1","4","3","2","5","3","2","5","2","5","5","5","0","5","3","4","2","0","4","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"391","17-Apr-2025 11:15:53","17-Apr-2025 11:19:04","191","A.女","A.18岁以下","B.否","A.是","A.是","B.否","B.否","A.是","B.否","A.是","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","5","2","3","4","4","5","5","3","2","3","2","3","4","3","4","4","4","2","3","2","0","4","5","5","4","2","5","1","5","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"390","17-Apr-2025 11:12:18","17-Apr-2025 11:14:54","156","A.女","A.18岁以下","B.否","A.是","A.是","B.否","B.否","A.是","A.是","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","1","3","5","3","3","3","0","2","0","3","3","3","3","3","5","3","3","0","3","3","0","3","3","5","5","0","5","3","3","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"389","17-Apr-2025 11:08:10","17-Apr-2025 11:10:02","112","A.女","A.18岁以下","B.否","A.是","A.是","A.是","B.否","A.是","A.是","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","5","1","5","5","5","5","5","1","5","0","2","5","5","5","5","5","5","0","5","5","0","5","5","5","5","0","5","3","5","5","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"388","17-Apr-2025 11:04:53","17-Apr-2025 11:07:07","134","B.男","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","1","2","4","1","1","3","1","4","3","5","2","2","4","2","1","3","4","4","4","3","1","5","3","2","4","2","5","5","3","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"387","17-Apr-2025 11:02:19","17-Apr-2025 11:04:34","135","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","3","3","4","5","4","4","3","3","3","4","4","5","4","5","4","5","3","4","4","5","3","4","4","5","5","3","4","4","5","4","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"386","17-Apr-2025 10:48:04","17-Apr-2025 10:49:55","111","B.男","A.18岁以下","A.是","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","3","5","3","3","3","3","3","5","3","5","5","3","5","5","5","5","5","5","3","0","5","5","5","5","0","5","0","3","0","简体中文","未清洗","","中国","浙江省","绍兴市","","223.92.11.28","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.56(0x1800383b) NetType/WIFI Language/zh_CN","",
